Transaction Date,Account Number,Account Holder Name,Amount
2025-04-24,000-100000555-55,Frank Miller,556.55
2025/05/25,000-100000556-56,Grace Wilson,556.56
2025-06-26,0000000000000557,Hank Moore,557.57
2025-07-27,000-100000558-58,,558.58
2025-08-28,000-100000559-59,Jack Anderson,-10.00
2025-09-01,000-100000560-60,Alice Johnson,561.60
2025/10/02,000-100000561-61,Bob Smith,561.61
2025-11-03,0000000000000562,Carol Williams,562.62
2025-12-04,000-100000563-63,,563.63
2025-01-05,000-100000564-64,Emma Davis,-10.00
2025-02-06,000-100000565-65,Frank Miller,566.65
2025/03/07,000-100000566-66,Grace Wilson,566.66
2025-04-08,0000000000000567,Hank Moore,567.67
2025-05-09,000-100000568-68,,568.68
2025-06-10,000-100000569-69,Jack Anderson,-10.00
2025-07-11,000-100000570-70,Alice Johnson,571.70
2025/08/12,000-100000571-71,Bob Smith,571.71
2025-09-13,0000000000000572,Carol Williams,572.72
2025-10-14,000-100000573-73,,573.73
2025-11-15,000-100000574-74,Emma Davis,-10.00
2025-12-16,000-100000575-75,Frank Miller,576.75
2025/01/17,000-100000576-76,Grace Wilson,576.76
2025-02-18,0000000000000577,Hank Moore,577.77
2025-03-19,000-100000578-78,,578.78
2025-04-20,000-100000579-79,Jack Anderson,-10.00
2025-05-21,000-100000580-80,Alice Johnson,581.80
2025/06/22,000-100000581-81,Bob Smith,581.81
2025-07-23,0000000000000582,Carol Williams,582.82
2025-08-24,000-100000583-83,,583.83
2025-09-25,000-100000584-84,Emma Davis,-10.00
2025-10-26,000-100000585-85,Frank Miller,586.85
2025/11/27,000-100000586-86,Grace Wilson,586.86
2025-12-28,0000000000000587,Hank Moore,587.87
2025-01-01,000-100000588-88,,588.88
2025-02-02,000-100000589-89,Jack Anderson,-10.00
2025-03-03,000-100000590-90,Alice Johnson,591.90
2025/04/04,000-100000591-91,Bob Smith,591.91
2025-05-05,0000000000000592,Carol Williams,592.92
2025-06-06,000-100000593-93,,593.93
2025-07-07,000-100000594-94,Emma Davis,-10.00
2025-08-08,000-100000595-95,Frank Miller,596.95
2025/09/09,000-100000596-96,Grace Wilson,596.96
2025-10-10,0000000000000597,Hank Moore,597.97
2025-11-11,000-100000598-98,,598.98
2025-12-12,000-100000599-99,Jack Anderson,-10.00
2025-01-13,000-100000600-00,Alice Johnson,601.00
2025/02/14,000-100000601-01,Bob Smith,601.01
2025-03-15,0000000000000602,Carol Williams,602.02
2025-04-16,000-100000603-03,,603.03
2025-05-17,000-100000604-04,Emma Davis,-10.00
2025-06-18,000-100000605-05,Frank Miller,606.05
2025/07/19,000-100000606-06,Grace Wilson,606.06
2025-08-20,0000000000000607,Hank Moore,607.07
2025-09-21,000-100000608-08,,608.08
2025-10-22,000-100000609-09,Jack Anderson,-10.00
2025-11-23,000-100000610-10,Alice Johnson,611.10
2025/12/24,000-100000611-11,Bob Smith,611.11
2025-01-25,0000000000000612,Carol Williams,612.12
2025-02-26,000-100000613-13,,613.13
2025-03-27,000-100000614-14,Emma Davis,-10.00
2025-04-28,000-100000615-15,Frank Miller,616.15
2025/05/01,000-100000616-16,Grace Wilson,616.16
2025-06-02,0000000000000617,Hank Moore,617.17
2025-07-03,000-100000618-18,,618.18
2025-08-04,000-100000619-19,Jack Anderson,-10.00
2025-09-05,000-100000620-20,Alice Johnson,621.20
2025/10/06,000-100000621-21,Bob Smith,621.21
2025-11-07,0000000000000622,Carol Williams,622.22
2025-12-08,000-100000623-23,,623.23
2025-01-09,000-100000624-24,Emma Davis,-10.00
2025-02-10,000-100000625-25,Frank Miller,626.25
2025/03/11,000-100000626-26,Grace Wilson,626.26
2025-04-12,0000000000000627,Hank Moore,627.27
2025-05-13,000-100000628-28,,628.28
2025-06-14,000-100000629-29,Jack Anderson,-10.00
2025-07-15,000-100000630-30,Alice Johnson,631.30
2025/08/16,000-100000631-31,Bob Smith,631.31
2025-09-17,0000000000000632,Carol Williams,632.32
2025-10-18,000-100000633-33,,633.33
2025-11-19,000-100000634-34,Emma Davis,-10.00
2025-12-20,000-100000635-35,Frank Miller,636.35
2025/01/21,000-100000636-36,Grace Wilson,636.36
2025-02-22,0000000000000637,Hank Moore,637.37
2025-03-23,000-100000638-38,,638.38
2025-04-24,000-100000639-39,Jack Anderson,-10.00
2025-05-25,000-100000640-40,Alice Johnson,641.40
2025/06/26,000-100000641-41,Bob Smith,641.41
2025-07-27,0000000000000642,Carol Williams,642.42
2025-08-28,000-100000643-43,,643.43
2025-09-01,000-100000644-44,Emma Davis,-10.00
2025-10-02,000-100000645-45,Frank Miller,646.45
2025/11/03,000-100000646-46,Grace Wilson,646.46
2025-12-04,0000000000000647,Hank Moore,647.47
2025-01-05,000-100000648-48,,648.48
2025-02-06,000-100000649-49,Jack Anderson,-10.00
2025-03-07,000-100000650-50,Alice Johnson,651.50
2025/04/08,000-100000651-51,Bob Smith,651.51
2025-05-09,0000000000000652,Carol Williams,652.52
2025-06-10,000-100000653-53,,653.53
2025-07-11,000-100000654-54,Emma Davis,-10.00
2025-08-12,000-100000655-55,Frank Miller,656.55
2025/09/13,000-100000656-56,Grace Wilson,656.56
2025-10-14,0000000000000657,Hank Moore,657.57
2025-11-15,000-100000658-58,,658.58
2025-12-16,000-100000659-59,Jack Anderson,-10.00
2025-01-17,000-100000660-60,Alice Johnson,661.60
2025/02/18,000-100000661-61,Bob Smith,661.61
2025-03-19,0000000000000662,Carol Williams,662.62
2025-04-20,000-100000663-63,,663.63
2025-05-21,000-100000664-64,Emma Davis,-10.00
2025-06-22,000-100000665-65,Frank Miller,666.65
2025/07/23,000-100000666-66,Grace Wilson,666.66
2025-08-24,0000000000000667,Hank Moore,667.67
2025-09-25,000-100000668-68,,668.68
2025-10-26,000-100000669-69,Jack Anderson,-10.00
2025-11-27,000-100000670-70,Alice Johnson,671.70
2025/12/28,000-100000671-71,Bob Smith,671.71
2025-01-01,0000000000000672,Carol Williams,672.72
2025-02-02,000-100000673-73,,673.73
2025-03-03,000-100000674-74,Emma Davis,-10.00
2025-04-04,000-100000675-75,Frank Miller,676.75
2025/05/05,000-100000676-76,Grace Wilson,676.76
2025-06-06,0000000000000677,Hank Moore,677.77
2025-07-07,000-100000678-78,,678.78
2025-08-08,000-100000679-79,Jack Anderson,-10.00
2025-09-09,000-100000680-80,Alice Johnson,681.80
2025/10/10,000-100000681-81,Bob Smith,681.81
2025-11-11,0000000000000682,Carol Williams,682.82
2025-12-12,000-100000683-83,,683.83
2025-01-13,000-100000684-84,Emma Davis,-10.00
2025-02-14,000-100000685-85,Frank Miller,686.85
2025/03/15,000-100000686-86,Grace Wilson,686.86
2025-04-16,0000000000000687,Hank Moore,687.87
2025-05-17,000-100000688-88,,688.88
2025-06-18,000-100000689-89,Jack Anderson,-10.00
2025-07-19,000-100000690-90,Alice Johnson,691.90
2025/08/20,000-100000691-91,Bob Smith,691.91
2025-09-21,0000000000000692,Carol Williams,692.92
2025-10-22,000-100000693-93,,693.93
2025-11-23,000-100000694-94,Emma Davis,-10.00
2025-12-24,000-100000695-95,Frank Miller,696.95
2025/01/25,000-100000696-96,Grace Wilson,696.96
2025-02-26,0000000000000697,Hank Moore,697.97
2025-03-27,000-100000698-98,,698.98
2025-04-28,000-100000699-99,Jack Anderson,-10.00
2025-05-01,000-100000700-00,Alice Johnson,701.00
2025/06/02,000-100000701-01,Bob Smith,701.01
2025-07-03,0000000000000702,Carol Williams,702.02
2025-08-04,000-100000703-03,,703.03
2025-09-05,000-100000704-04,Emma Davis,-10.00
2025-10-06,000-100000705-05,Frank Miller,706.05
2025/11/07,000-100000706-06,Grace Wilson,706.06
2025-12-08,0000000000000707,Hank Moore,707.07
2025-01-09,000-100000708-08,,708.08
2025-02-10,000-100000709-09,Jack Anderson,-10.00
2025-03-11,000-100000710-10,Alice Johnson,711.10
2025/04/12,000-100000711-11,Bob Smith,711.11
2025-05-13,0000000000000712,Carol Williams,712.12
2025-06-14,000-100000713-13,,713.13
2025-07-15,000-100000714-14,Emma Davis,-10.00
2025-08-16,000-100000715-15,Frank Miller,716.15
2025/09/17,000-100000716-16,Grace Wilson,716.16
2025-10-18,0000000000000717,Hank Moore,717.17
2025-11-19,000-100000718-18,,718.18
2025-12-20,000-100000719-19,Jack Anderson,-10.00
2025-01-21,000-100000720-20,Alice Johnson,721.20
2025/02/22,000-100000721-21,Bob Smith,721.21
2025-03-23,0000000000000722,Carol Williams,722.22
2025-04-24,000-100000723-23,,723.23
2025-05-25,000-100000724-24,Emma Davis,-10.00
2025-06-26,000-100000725-25,Frank Miller,726.25
2025/07/27,000-100000726-26,Grace Wilson,726.26
2025-08-28,0000000000000727,Hank Moore,727.27
2025-09-01,000-100000728-28,,728.28
2025-10-02,000-100000729-29,Jack Anderson,-10.00
2025-11-03,000-100000730-30,Alice Johnson,731.30
2025/12/04,000-100000731-31,Bob Smith,731.31
2025-01-05,0000000000000732,Carol Williams,732.32
2025-02-06,000-100000733-33,,733.33
2025-03-07,000-100000734-34,Emma Davis,-10.00
2025-04-08,000-100000735-35,Frank Miller,736.35
2025/05/09,000-100000736-36,Grace Wilson,736.36
2025-06-10,0000000000000737,Hank Moore,737.37
2025-07-11,000-100000738-38,,738.38
2025-08-12,000-100000739-39,Jack Anderson,-10.00
2025-09-13,000-100000740-40,Alice Johnson,741.40
2025/10/14,000-100000741-41,Bob Smith,741.41
2025-11-15,0000000000000742,Carol Williams,742.42
2025-12-16,000-100000743-43,,743.43
2025-01-17,000-100000744-44,Emma Davis,-10.00
2025-02-18,000-100000745-45,Frank Miller,746.45
2025/03/19,000-100000746-46,Grace Wilson,746.46
2025-04-20,0000000000000747,Hank Moore,747.47
2025-05-21,000-100000748-48,,748.48
2025-06-22,000-100000749-49,Jack Anderson,-10.00
2025-07-23,000-100000750-50,Alice Johnson,751.50
2025/08/24,000-100000751-51,Bob Smith,751.51
2025-09-25,0000000000000752,Carol Williams,752.52
2025-10-26,000-100000753-53,,753.53
2025-11-27,000-100000754-54,Emma Davis,-10.00
2025-12-28,000-100000755-55,Frank Miller,756.55
2025/01/01,000-100000756-56,Grace Wilson,756.56
2025-02-02,0000000000000757,Hank Moore,757.57
2025-03-03,000-100000758-58,,758.58
2025-04-04,000-100000759-59,Jack Anderson,-10.00
2025-05-05,000-100000760-60,Alice Johnson,761.60
2025/06/06,000-100000761-61,Bob Smith,761.61
2025-07-07,0000000000000762,Carol Williams,762.62
2025-08-08,000-100000763-63,,763.63
2025-09-09,000-100000764-64,Emma Davis,-10.00
2025-10-10,000-100000765-65,Frank Miller,766.65
2025/11/11,000-100000766-66,Grace Wilson,766.66
2025-12-12,0000000000000767,Hank Moore,767.67
2025-01-13,000-100000768-68,,768.68
2025-02-14,000-100000769-69,Jack Anderson,-10.00
2025-03-15,000-100000770-70,Alice Johnson,771.70
2025/04/16,000-100000771-71,Bob Smith,771.71
2025-05-17,0000000000000772,Carol Williams,772.72
2025-06-18,000-100000773-73,,773.73
2025-07-19,000-100000774-74,Emma Davis,-10.00
2025-08-20,000-100000775-75,Frank Miller,776.75
2025/09/21,000-100000776-76,Grace Wilson,776.76
2025-10-22,0000000000000777,Hank Moore,777.77
2025-11-23,000-100000778-78,,778.78
2025-12-24,000-100000779-79,Jack Anderson,-10.00
2025-01-25,000-100000780-80,Alice Johnson,781.80
2025/02/26,000-100000781-81,Bob Smith,781.81
2025-03-27,0000000000000782,Carol Williams,782.82
2025-04-28,000-100000783-83,,783.83
2025-05-01,000-100000784-84,Emma Davis,-10.00
2025-06-02,000-100000785-85,Frank Miller,786.85
2025/07/03,000-100000786-86,Grace Wilson,786.86
2025-08-04,0000000000000787,Hank Moore,787.87
2025-09-05,000-100000788-88,,788.88
2025-10-06,000-100000789-89,Jack Anderson,-10.00
2025-11-07,000-100000790-90,Alice Johnson,791.90
2025/12/08,000-100000791-91,Bob Smith,791.91
2025-01-09,0000000000000792,Carol Williams,792.92
2025-02-10,000-100000793-93,,793.93
2025-03-11,000-100000794-94,Emma Davis,-10.00
2025-04-12,000-100000795-95,Frank Miller,796.95
2025/05/13,000-100000796-96,Grace Wilson,796.96
2025-06-14,0000000000000797,Hank Moore,797.97
2025-07-15,000-100000798-98,,798.98
2025-08-16,000-100000799-99,Jack Anderson,-10.00
2025-09-17,000-100000800-00,Alice Johnson,801.00
2025/10/18,000-100000801-01,Bob Smith,801.01
2025-11-19,0000000000000802,Carol Williams,802.02
2025-12-20,000-100000803-03,,803.03
2025-01-21,000-100000804-04,Emma Davis,-10.00
2025-02-22,000-100000805-05,Frank Miller,806.05
2025/03/23,000-100000806-06,Grace Wilson,806.06
2025-04-24,0000000000000807,Hank Moore,807.07
2025-05-25,000-100000808-08,,808.08
2025-06-26,000-100000809-09,Jack Anderson,-10.00
2025-07-27,000-100000810-10,Alice Johnson,811.10
2025/08/28,000-100000811-11,Bob Smith,811.11
2025-09-01,0000000000000812,Carol Williams,812.12
2025-10-02,000-100000813-13,,813.13
2025-11-03,000-100000814-14,Emma Davis,-10.00
2025-12-04,000-100000815-15,Frank Miller,816.15
2025/01/05,000-100000816-16,Grace Wilson,816.16
2025-02-06,0000000000000817,Hank Moore,817.17
2025-03-07,000-100000818-18,,818.18
2025-04-08,000-100000819-19,Jack Anderson,-10.00
2025-05-09,000-100000820-20,Alice Johnson,821.20
2025/06/10,000-100000821-21,Bob Smith,821.21
2025-07-11,0000000000000822,Carol Williams,822.22
2025-08-12,000-100000823-23,,823.23
2025-09-13,000-100000824-24,Emma Davis,-10.00
2025-10-14,000-100000825-25,Frank Miller,826.25
2025/11/15,000-100000826-26,Grace Wilson,826.26
2025-12-16,0000000000000827,Hank Moore,827.27
2025-01-17,000-100000828-28,,828.28
2025-02-18,000-100000829-29,Jack Anderson,-10.00
2025-03-19,000-100000830-30,Alice Johnson,831.30
2025/04/20,000-100000831-31,Bob Smith,831.31
2025-05-21,0000000000000832,Carol Williams,832.32
2025-06-22,000-100000833-33,,833.33
2025-07-23,000-100000834-34,Emma Davis,-10.00
2025-08-24,000-100000835-35,Frank Miller,836.35
2025/09/25,000-100000836-36,Grace Wilson,836.36
2025-10-26,0000000000000837,Hank Moore,837.37
2025-11-27,000-100000838-38,,838.38
2025-12-28,000-100000839-39,Jack Anderson,-10.00
2025-01-01,000-100000840-40,Alice Johnson,841.40
2025/02/02,000-100000841-41,Bob Smith,841.41
2025-03-03,0000000000000842,Carol Williams,842.42
2025-04-04,000-100000843-43,,843.43
2025-05-05,000-100000844-44,Emma Davis,-10.00
2025-06-06,000-100000845-45,Frank Miller,846.45
2025/07/07,000-100000846-46,Grace Wilson,846.46
2025-08-08,0000000000000847,Hank Moore,847.47
2025-09-09,000-100000848-48,,848.48
2025-10-10,000-100000849-49,Jack Anderson,-10.00
2025-11-11,000-100000850-50,Alice Johnson,851.50
2025/12/12,000-100000851-51,Bob Smith,851.51
2025-01-13,0000000000000852,Carol Williams,852.52
2025-02-14,000-100000853-53,,853.53
2025-03-15,000-100000854-54,Emma Davis,-10.00
2025-04-16,000-100000855-55,Frank Miller,856.55
2025/05/17,000-100000856-56,Grace Wilson,856.56
2025-06-18,0000000000000857,Hank Moore,857.57
2025-07-19,000-100000858-58,,858.58
2025-08-20,000-100000859-59,Jack Anderson,-10.00
2025-09-21,000-100000860-60,Alice Johnson,861.60
2025/10/22,000-100000861-61,Bob Smith,861.61
2025-11-23,0000000000000862,Carol Williams,862.62
2025-12-24,000-100000863-63,,863.63
2025-01-25,000-100000864-64,Emma Davis,-10.00
2025-02-26,000-100000865-65,Frank Miller,866.65
2025/03/27,000-100000866-66,Grace Wilson,866.66
2025-04-28,0000000000000867,Hank Moore,867.67
2025-05-01,000-100000868-68,,868.68
2025-06-02,000-100000869-69,Jack Anderson,-10.00
2025-07-03,000-100000870-70,Alice Johnson,871.70
2025/08/04,000-100000871-71,Bob Smith,871.71
2025-09-05,0000000000000872,Carol Williams,872.72
2025-10-06,000-100000873-73,,873.73
2025-11-07,000-100000874-74,Emma Davis,-10.00
2025-12-08,000-100000875-75,Frank Miller,876.75
2025/01/09,000-100000876-76,Grace Wilson,876.76
2025-02-10,0000000000000877,Hank Moore,877.77
2025-03-11,000-100000878-78,,878.78
2025-04-12,000-100000879-79,Jack Anderson,-10.00
2025-05-13,000-100000880-80,Alice Johnson,881.80
2025/06/14,000-100000881-81,Bob Smith,881.81
2025-07-15,0000000000000882,Carol Williams,882.82
2025-08-16,000-100000883-83,,883.83
2025-09-17,000-100000884-84,Emma Davis,-10.00
2025-10-18,000-100000885-85,Frank Miller,886.85
2025/11/19,000-100000886-86,Grace Wilson,886.86
2025-12-20,0000000000000887,Hank Moore,887.87
2025-01-21,000-100000888-88,,888.88
2025-02-22,000-100000889-89,Jack Anderson,-10.00
2025-03-23,000-100000890-90,Alice Johnson,891.90
2025/04/24,000-100000891-91,Bob Smith,891.91
2025-05-25,0000000000000892,Carol Williams,892.92
2025-06-26,000-100000893-93,,893.93
2025-07-27,000-100000894-94,Emma Davis,-10.00
2025-08-28,000-100000895-95,Frank Miller,896.95
2025/09/01,000-100000896-96,Grace Wilson,896.96
2025-10-02,0000000000000897,Hank Moore,897.97
2025-11-03,000-100000898-98,,898.98
2025-12-04,000-100000899-99,Jack Anderson,-10.00
2025-01-05,000-100000900-00,Alice Johnson,901.00
2025/02/06,000-100000901-01,Bob Smith,901.01
2025-03-07,0000000000000902,Carol Williams,902.02
2025-04-08,000-100000903-03,,903.03
2025-05-09,000-100000904-04,Emma Davis,-10.00
2025-06-10,000-100000905-05,Frank Miller,906.05
2025/07/11,000-100000906-06,Grace Wilson,906.06
2025-08-12,0000000000000907,Hank Moore,907.07
2025-09-13,000-100000908-08,,908.08
2025-10-14,000-100000909-09,Jack Anderson,-10.00
2025-11-15,000-100000910-10,Alice Johnson,911.10
2025/12/16,000-100000911-11,Bob Smith,911.11
2025-01-17,0000000000000912,Carol Williams,912.12
2025-02-18,000-100000913-13,,913.13
2025-03-19,000-100000914-14,Emma Davis,-10.00
2025-04-20,000-100000915-15,Frank Miller,916.15
2025/05/21,000-100000916-16,Grace Wilson,916.16
2025-06-22,0000000000000917,Hank Moore,917.17
2025-07-23,000-100000918-18,,918.18
2025-08-24,000-100000919-19,Jack Anderson,-10.00
2025-09-25,000-100000920-20,Alice Johnson,921.20
2025/10/26,000-100000921-21,Bob Smith,921.21
2025-11-27,0000000000000922,Carol Williams,922.22
2025-12-28,000-100000923-23,,923.23
2025-01-01,000-100000924-24,Emma Davis,-10.00
2025-02-02,000-100000925-25,Frank Miller,926.25
2025/03/03,000-100000926-26,Grace Wilson,926.26
2025-04-04,0000000000000927,Hank Moore,927.27
2025-05-05,000-100000928-28,,928.28
2025-06-06,000-100000929-29,Jack Anderson,-10.00
2025-07-07,000-100000930-30,Alice Johnson,931.30
2025/08/08,000-100000931-31,Bob Smith,931.31
2025-09-09,0000000000000932,Carol Williams,932.32
2025-10-10,000-100000933-33,,933.33
2025-11-11,000-100000934-34,Emma Davis,-10.00
2025-12-12,000-100000935-35,Frank Miller,936.35
2025/01/13,000-100000936-36,Grace Wilson,936.36
2025-02-14,0000000000000937,Hank Moore,937.37
2025-03-15,000-100000938-38,,938.38
2025-04-16,000-100000939-39,Jack Anderson,-10.00
2025-05-17,000-100000940-40,Alice Johnson,941.40
2025/06/18,000-100000941-41,Bob Smith,941.41
2025-07-19,0000000000000942,Carol Williams,942.42
2025-08-20,000-100000943-43,,943.43
2025-09-21,000-100000944-44,Emma Davis,-10.00
2025-10-22,000-100000945-45,Frank Miller,946.45
2025/11/23,000-100000946-46,Grace Wilson,946.46
2025-12-24,0000000000000947,Hank Moore,947.47
2025-01-25,000-100000948-48,,948.48
2025-02-26,000-100000949-49,Jack Anderson,-10.00
2025-03-27,000-100000950-50,Alice Johnson,951.50
2025/04/28,000-100000951-51,Bob Smith,951.51
2025-05-01,0000000000000952,Carol Williams,952.52
2025-06-02,000-100000953-53,,953.53
2025-07-03,000-100000954-54,Emma Davis,-10.00
2025-08-04,000-100000955-55,Frank Miller,956.55
2025/09/05,000-100000956-56,Grace Wilson,956.56
2025-10-06,0000000000000957,Hank Moore,957.57
2025-11-07,000-100000958-58,,958.58
2025-12-08,000-100000959-59,Jack Anderson,-10.00
2025-01-09,000-100000960-60,Alice Johnson,961.60
2025/02/10,000-100000961-61,Bob Smith,961.61
2025-03-11,0000000000000962,Carol Williams,962.62
2025-04-12,000-100000963-63,,963.63
2025-05-13,000-100000964-64,Emma Davis,-10.00
2025-06-14,000-100000965-65,Frank Miller,966.65
2025/07/15,000-100000966-66,Grace Wilson,966.66
2025-08-16,0000000000000967,Hank Moore,967.67
2025-09-17,000-100000968-68,,968.68
2025-10-18,000-100000969-69,Jack Anderson,-10.00
2025-11-19,000-100000970-70,Alice Johnson,971.70
2025/12/20,000-100000971-71,Bob Smith,971.71
2025-01-21,0000000000000972,Carol Williams,972.72
2025-02-22,000-100000973-73,,973.73
2025-03-23,000-100000974-74,Emma Davis,-10.00
2025-04-24,000-100000975-75,Frank Miller,976.75
2025/05/25,000-100000976-76,Grace Wilson,976.76
2025-06-26,0000000000000977,Hank Moore,977.77
2025-07-27,000-100000978-78,,978.78
2025-08-28,000-100000979-79,Jack Anderson,-10.00
2025-09-01,000-100000980-80,Alice Johnson,981.80
2025/10/02,000-100000981-81,Bob Smith,981.81
2025-11-03,0000000000000982,Carol Williams,982.82
2025-12-04,000-100000983-83,,983.83
2025-01-05,000-100000984-84,Emma Davis,-10.00
2025-02-06,000-100000985-85,Frank Miller,986.85
2025/03/07,000-100000986-86,Grace Wilson,986.86
2025-04-08,0000000000000987,Hank Moore,987.87
2025-05-09,000-100000988-88,,988.88
2025-06-10,000-100000989-89,Jack Anderson,-10.00
2025-07-11,000-100000990-90,Alice Johnson,991.90
2025/08/12,000-100000991-91,Bob Smith,991.91
2025-09-13,0000000000000992,Carol Williams,992.92
2025-10-14,000-100000993-93,,993.93
2025-11-15,000-100000994-94,Emma Davis,-10.00
2025-12-16,000-100000995-95,Frank Miller,996.95
2025/01/17,000-100000996-96,Grace Wilson,996.96
2025-02-18,0000000000000997,Hank Moore,997.97
2025-03-19,000-100000998-98,,998.98
2025-04-20,000-100000999-99,Jack Anderson,-10.00
