Transaction Date,Account Number,Account Holder Name,Amount
2025-12-20,000-100001979-79,Jack Anderson,-10.00
2025-01-21,000-100001980-80,Alice Johnson,"1,981.80"
2025/02/22,000-100001981-81,Bob Smith,1981.81
2025-03-23,0000000000001982,Carol Williams,1982.82
2025-04-24,000-100001983-83,,1983.83
2025-05-25,000-100001984-84,Emma Davis,-10.00
2025-06-26,000-100001985-85,Frank Miller,1986.85
2025/07/27,000-100001986-86,Grace Wilson,1986.86
2025-08-28,0000000000001987,Hank Moore,1987.87
2025-09-01,000-100001988-88,,1988.88
2025-10-02,000-100001989-89,Jack Anderson,-10.00
2025-11-03,000-100001990-90,Alice Johnson,"1,991.90"
2025/12/04,000-100001991-91,Bob Smith,1991.91
2025-01-05,0000000000001992,Carol Williams,1992.92
2025-02-06,000-100001993-93,,1993.93
2025-03-07,000-100001994-94,Emma Davis,-10.00
2025-04-08,000-100001995-95,Frank Miller,1996.95
2025/05/09,000-100001996-96,Grace Wilson,1996.96
2025-06-10,0000000000001997,Hank Moore,1997.97
2025-07-11,000-100001998-98,,1998.98
2025-08-12,000-100001999-99,Jack Anderson,-10.00
2025-09-13,000-100002000-00,Alice Johnson,"2,001.00"
2025/10/14,000-100002001-01,Bob Smith,2001.01
2025-11-15,0000000000002002,Carol Williams,2002.02
2025-12-16,000-100002003-03,,2003.03
2025-01-17,000-100002004-04,Emma Davis,-10.00
2025-02-18,000-100002005-05,Frank Miller,2006.05
2025/03/19,000-100002006-06,Grace Wilson,2006.06
2025-04-20,0000000000002007,Hank Moore,2007.07
2025-05-21,000-100002008-08,,2008.08
2025-06-22,000-100002009-09,Jack Anderson,-10.00
2025-07-23,000-100002010-10,Alice Johnson,"2,011.10"
2025/08/24,000-100002011-11,Bob Smith,2011.11
2025-09-25,0000000000002012,Carol Williams,2012.12
2025-10-26,000-100002013-13,,2013.13
2025-11-27,000-100002014-14,Emma Davis,-10.00
2025-12-28,000-100002015-15,Frank Miller,2016.15
2025/01/01,000-100002016-16,Grace Wilson,2016.16
2025-02-02,0000000000002017,Hank Moore,2017.17
2025-03-03,000-100002018-18,,2018.18
2025-04-04,000-100002019-19,Jack Anderson,-10.00
2025-05-05,000-100002020-20,Alice Johnson,"2,021.20"
2025/06/06,000-100002021-21,Bob Smith,2021.21
2025-07-07,0000000000002022,Carol Williams,2022.22
2025-08-08,000-100002023-23,,2023.23
2025-09-09,000-100002024-24,Emma Davis,-10.00
2025-10-10,000-100002025-25,Frank Miller,2026.25
2025/11/11,000-100002026-26,Grace Wilson,2026.26
2025-12-12,0000000000002027,Hank Moore,2027.27
2025-01-13,000-100002028-28,,2028.28
2025-02-14,000-100002029-29,Jack Anderson,-10.00
2025-03-15,000-100002030-30,Alice Johnson,"2,031.30"
2025/04/16,000-100002031-31,Bob Smith,2031.31
2025-05-17,0000000000002032,Carol Williams,2032.32
2025-06-18,000-100002033-33,,2033.33
2025-07-19,000-100002034-34,Emma Davis,-10.00
2025-08-20,000-100002035-35,Frank Miller,2036.35
2025/09/21,000-100002036-36,Grace Wilson,2036.36
2025-10-22,0000000000002037,Hank Moore,2037.37
2025-11-23,000-100002038-38,,2038.38
2025-12-24,000-100002039-39,Jack Anderson,-10.00
2025-01-25,000-100002040-40,Alice Johnson,"2,041.40"
2025/02/26,000-100002041-41,Bob Smith,2041.41
2025-03-27,0000000000002042,Carol Williams,2042.42
2025-04-28,000-100002043-43,,2043.43
2025-05-01,000-100002044-44,Emma Davis,-10.00
2025-06-02,000-100002045-45,Frank Miller,2046.45
2025/07/03,000-100002046-46,Grace Wilson,2046.46
2025-08-04,0000000000002047,Hank Moore,2047.47
2025-09-05,000-100002048-48,,2048.48
2025-10-06,000-100002049-49,Jack Anderson,-10.00
2025-11-07,000-100002050-50,Alice Johnson,"2,051.50"
2025/12/08,000-100002051-51,Bob Smith,2051.51
2025-01-09,0000000000002052,Carol Williams,2052.52
2025-02-10,000-100002053-53,,2053.53
2025-03-11,000-100002054-54,Emma Davis,-10.00
2025-04-12,000-100002055-55,Frank Miller,2056.55
2025/05/13,000-100002056-56,Grace Wilson,2056.56
2025-06-14,0000000000002057,Hank Moore,2057.57
2025-07-15,000-100002058-58,,2058.58
2025-08-16,000-100002059-59,Jack Anderson,-10.00
2025-09-17,000-100002060-60,Alice Johnson,"2,061.60"
2025/10/18,000-100002061-61,Bob Smith,2061.61
2025-11-19,0000000000002062,Carol Williams,2062.62
2025-12-20,000-100002063-63,,2063.63
2025-01-21,000-100002064-64,Emma Davis,-10.00
2025-02-22,000-100002065-65,Frank Miller,2066.65
2025/03/23,000-100002066-66,Grace Wilson,2066.66
2025-04-24,0000000000002067,Hank Moore,2067.67
2025-05-25,000-100002068-68,,2068.68
2025-06-26,000-100002069-69,Jack Anderson,-10.00
2025-07-27,000-100002070-70,Alice Johnson,"2,071.70"
2025/08/28,000-100002071-71,Bob Smith,2071.71
2025-09-01,0000000000002072,Carol Williams,2072.72
2025-10-02,000-100002073-73,,2073.73
2025-11-03,000-100002074-74,Emma Davis,-10.00
2025-12-04,000-100002075-75,Frank Miller,2076.75
2025/01/05,000-100002076-76,Grace Wilson,2076.76
2025-02-06,0000000000002077,Hank Moore,2077.77
2025-03-07,000-100002078-78,,2078.78
2025-04-08,000-100002079-79,Jack Anderson,-10.00
2025-05-09,000-100002080-80,Alice Johnson,"2,081.80"
2025/06/10,000-100002081-81,Bob Smith,2081.81
2025-07-11,0000000000002082,Carol Williams,2082.82
2025-08-12,000-100002083-83,,2083.83
2025-09-13,000-100002084-84,Emma Davis,-10.00
2025-10-14,000-100002085-85,Frank Miller,2086.85
2025/11/15,000-100002086-86,Grace Wilson,2086.86
2025-12-16,0000000000002087,Hank Moore,2087.87
2025-01-17,000-100002088-88,,2088.88
2025-02-18,000-100002089-89,Jack Anderson,-10.00
2025-03-19,000-100002090-90,Alice Johnson,"2,091.90"
2025/04/20,000-100002091-91,Bob Smith,2091.91
2025-05-21,0000000000002092,Carol Williams,2092.92
2025-06-22,000-100002093-93,,2093.93
2025-07-23,000-100002094-94,Emma Davis,-10.00
2025-08-24,000-100002095-95,Frank Miller,2096.95
2025/09/25,000-100002096-96,Grace Wilson,2096.96
2025-10-26,0000000000002097,Hank Moore,2097.97
2025-11-27,000-100002098-98,,2098.98
2025-12-28,000-100002099-99,Jack Anderson,-10.00
2025-01-01,000-100002100-00,Alice Johnson,"2,101.00"
2025/02/02,000-100002101-01,Bob Smith,2101.01
2025-03-03,0000000000002102,Carol Williams,2102.02
2025-04-04,000-100002103-03,,2103.03
2025-05-05,000-100002104-04,Emma Davis,-10.00
2025-06-06,000-100002105-05,Frank Miller,2106.05
2025/07/07,000-100002106-06,Grace Wilson,2106.06
2025-08-08,0000000000002107,Hank Moore,2107.07
2025-09-09,000-100002108-08,,2108.08
2025-10-10,000-100002109-09,Jack Anderson,-10.00
2025-11-11,000-100002110-10,Alice Johnson,"2,111.10"
2025/12/12,000-100002111-11,Bob Smith,2111.11
2025-01-13,0000000000002112,Carol Williams,2112.12
2025-02-14,000-100002113-13,,2113.13
2025-03-15,000-100002114-14,Emma Davis,-10.00
2025-04-16,000-100002115-15,Frank Miller,2116.15
2025/05/17,000-100002116-16,Grace Wilson,2116.16
2025-06-18,0000000000002117,Hank Moore,2117.17
2025-07-19,000-100002118-18,,2118.18
2025-08-20,000-100002119-19,Jack Anderson,-10.00
2025-09-21,000-100002120-20,Alice Johnson,"2,121.20"
2025/10/22,000-100002121-21,Bob Smith,2121.21
2025-11-23,0000000000002122,Carol Williams,2122.22
2025-12-24,000-100002123-23,,2123.23
2025-01-25,000-100002124-24,Emma Davis,-10.00
2025-02-26,000-100002125-25,Frank Miller,2126.25
2025/03/27,000-100002126-26,Grace Wilson,2126.26
2025-04-28,0000000000002127,Hank Moore,2127.27
2025-05-01,000-100002128-28,,2128.28
2025-06-02,000-100002129-29,Jack Anderson,-10.00
2025-07-03,000-100002130-30,Alice Johnson,"2,131.30"
2025/08/04,000-100002131-31,Bob Smith,2131.31
2025-09-05,0000000000002132,Carol Williams,2132.32
2025-10-06,000-100002133-33,,2133.33
2025-11-07,000-100002134-34,Emma Davis,-10.00
2025-12-08,000-100002135-35,Frank Miller,2136.35
2025/01/09,000-100002136-36,Grace Wilson,2136.36
2025-02-10,0000000000002137,Hank Moore,2137.37
2025-03-11,000-100002138-38,,2138.38
2025-04-12,000-100002139-39,Jack Anderson,-10.00
2025-05-13,000-100002140-40,Alice Johnson,"2,141.40"
2025/06/14,000-100002141-41,Bob Smith,2141.41
2025-07-15,0000000000002142,Carol Williams,2142.42
2025-08-16,000-100002143-43,,2143.43
2025-09-17,000-100002144-44,Emma Davis,-10.00
2025-10-18,000-100002145-45,Frank Miller,2146.45
2025/11/19,000-100002146-46,Grace Wilson,2146.46
2025-12-20,0000000000002147,Hank Moore,2147.47
2025-01-21,000-100002148-48,,2148.48
2025-02-22,000-100002149-49,Jack Anderson,-10.00
2025-03-23,000-100002150-50,Alice Johnson,"2,151.50"
2025/04/24,000-100002151-51,Bob Smith,2151.51
2025-05-25,0000000000002152,Carol Williams,2152.52
2025-06-26,000-100002153-53,,2153.53
2025-07-27,000-100002154-54,Emma Davis,-10.00
2025-08-28,000-100002155-55,Frank Miller,2156.55
2025/09/01,000-100002156-56,Grace Wilson,2156.56
2025-10-02,0000000000002157,Hank Moore,2157.57
2025-11-03,000-100002158-58,,2158.58
2025-12-04,000-100002159-59,Jack Anderson,-10.00
2025-01-05,000-100002160-60,Alice Johnson,"2,161.60"
2025/02/06,000-100002161-61,Bob Smith,2161.61
2025-03-07,0000000000002162,Carol Williams,2162.62
2025-04-08,000-100002163-63,,2163.63
2025-05-09,000-100002164-64,Emma Davis,-10.00
2025-06-10,000-100002165-65,Frank Miller,2166.65
2025/07/11,000-100002166-66,Grace Wilson,2166.66
2025-08-12,0000000000002167,Hank Moore,2167.67
2025-09-13,000-100002168-68,,2168.68
2025-10-14,000-100002169-69,Jack Anderson,-10.00
2025-11-15,000-100002170-70,Alice Johnson,"2,171.70"
2025/12/16,000-100002171-71,Bob Smith,2171.71
2025-01-17,0000000000002172,Carol Williams,2172.72
2025-02-18,000-100002173-73,,2173.73
2025-03-19,000-100002174-74,Emma Davis,-10.00
2025-04-20,000-100002175-75,Frank Miller,2176.75
2025/05/21,000-100002176-76,Grace Wilson,2176.76
2025-06-22,0000000000002177,Hank Moore,2177.77
2025-07-23,000-100002178-78,,2178.78
2025-08-24,000-100002179-79,Jack Anderson,-10.00
2025-09-25,000-100002180-80,Alice Johnson,"2,181.80"
2025/10/26,000-100002181-81,Bob Smith,2181.81
2025-11-27,0000000000002182,Carol Williams,2182.82
2025-12-28,000-100002183-83,,2183.83
2025-01-01,000-100002184-84,Emma Davis,-10.00
2025-02-02,000-100002185-85,Frank Miller,2186.85
2025/03/03,000-100002186-86,Grace Wilson,2186.86
2025-04-04,0000000000002187,Hank Moore,2187.87
2025-05-05,000-100002188-88,,2188.88
2025-06-06,000-100002189-89,Jack Anderson,-10.00
2025-07-07,000-100002190-90,Alice Johnson,"2,191.90"
2025/08/08,000-100002191-91,Bob Smith,2191.91
2025-09-09,0000000000002192,Carol Williams,2192.92
2025-10-10,000-100002193-93,,2193.93
2025-11-11,000-100002194-94,Emma Davis,-10.00
2025-12-12,000-100002195-95,Frank Miller,2196.95
2025/01/13,000-100002196-96,Grace Wilson,2196.96
2025-02-14,0000000000002197,Hank Moore,2197.97
2025-03-15,000-100002198-98,,2198.98
2025-04-16,000-100002199-99,Jack Anderson,-10.00
2025-05-17,000-100002200-00,Alice Johnson,"2,201.00"
2025/06/18,000-100002201-01,Bob Smith,2201.01
2025-07-19,0000000000002202,Carol Williams,2202.02
2025-08-20,000-100002203-03,,2203.03
2025-09-21,000-100002204-04,Emma Davis,-10.00
2025-10-22,000-100002205-05,Frank Miller,2206.05
2025/11/23,000-100002206-06,Grace Wilson,2206.06
2025-12-24,0000000000002207,Hank Moore,2207.07
2025-01-25,000-100002208-08,,2208.08
2025-02-26,000-100002209-09,Jack Anderson,-10.00
2025-03-27,000-100002210-10,Alice Johnson,"2,211.10"
2025/04/28,000-100002211-11,Bob Smith,2211.11
2025-05-01,0000000000002212,Carol Williams,2212.12
2025-06-02,000-100002213-13,,2213.13
2025-07-03,000-100002214-14,Emma Davis,-10.00
2025-08-04,000-100002215-15,Frank Miller,2216.15
2025/09/05,000-100002216-16,Grace Wilson,2216.16
2025-10-06,0000000000002217,Hank Moore,2217.17
2025-11-07,000-100002218-18,,2218.18
2025-12-08,000-100002219-19,Jack Anderson,-10.00
2025-01-09,000-100002220-20,Alice Johnson,"2,221.20"
2025/02/10,000-100002221-21,Bob Smith,2221.21
2025-03-11,0000000000002222,Carol Williams,2222.22
2025-04-12,000-100002223-23,,2223.23
2025-05-13,000-100002224-24,Emma Davis,-10.00
2025-06-14,000-100002225-25,Frank Miller,2226.25
2025/07/15,000-100002226-26,Grace Wilson,2226.26
2025-08-16,0000000000002227,Hank Moore,2227.27
2025-09-17,000-100002228-28,,2228.28
2025-10-18,000-100002229-29,Jack Anderson,-10.00
2025-11-19,000-100002230-30,Alice Johnson,"2,231.30"
2025/12/20,000-100002231-31,Bob Smith,2231.31
2025-01-21,0000000000002232,Carol Williams,2232.32
2025-02-22,000-100002233-33,,2233.33
2025-03-23,000-100002234-34,Emma Davis,-10.00
2025-04-24,000-100002235-35,Frank Miller,2236.35
2025/05/25,000-100002236-36,Grace Wilson,2236.36
2025-06-26,0000000000002237,Hank Moore,2237.37
2025-07-27,000-100002238-38,,2238.38
2025-08-28,000-100002239-39,Jack Anderson,-10.00
2025-09-01,000-100002240-40,Alice Johnson,"2,241.40"
2025/10/02,000-100002241-41,Bob Smith,2241.41
2025-11-03,0000000000002242,Carol Williams,2242.42
2025-12-04,000-100002243-43,,2243.43
2025-01-05,000-100002244-44,Emma Davis,-10.00
2025-02-06,000-100002245-45,Frank Miller,2246.45
2025/03/07,000-100002246-46,Grace Wilson,2246.46
2025-04-08,0000000000002247,Hank Moore,2247.47
2025-05-09,000-100002248-48,,2248.48
2025-06-10,000-100002249-49,Jack Anderson,-10.00
2025-07-11,000-100002250-50,Alice Johnson,"2,251.50"
2025/08/12,000-100002251-51,Bob Smith,2251.51
2025-09-13,0000000000002252,Carol Williams,2252.52
2025-10-14,000-100002253-53,,2253.53
2025-11-15,000-100002254-54,Emma Davis,-10.00
2025-12-16,000-100002255-55,Frank Miller,2256.55
2025/01/17,000-100002256-56,Grace Wilson,2256.56
2025-02-18,0000000000002257,Hank Moore,2257.57
2025-03-19,000-100002258-58,,2258.58
2025-04-20,000-100002259-59,Jack Anderson,-10.00
2025-05-21,000-100002260-60,Alice Johnson,"2,261.60"
2025/06/22,000-100002261-61,Bob Smith,2261.61
2025-07-23,0000000000002262,Carol Williams,2262.62
2025-08-24,000-100002263-63,,2263.63
2025-09-25,000-100002264-64,Emma Davis,-10.00
2025-10-26,000-100002265-65,Frank Miller,2266.65
2025/11/27,000-100002266-66,Grace Wilson,2266.66
2025-12-28,0000000000002267,Hank Moore,2267.67
2025-01-01,000-100002268-68,,2268.68
2025-02-02,000-100002269-69,Jack Anderson,-10.00
2025-03-03,000-100002270-70,Alice Johnson,"2,271.70"
2025/04/04,000-100002271-71,Bob Smith,2271.71
2025-05-05,0000000000002272,Carol Williams,2272.72
2025-06-06,000-100002273-73,,2273.73
2025-07-07,000-100002274-74,Emma Davis,-10.00
2025-08-08,000-100002275-75,Frank Miller,2276.75
2025/09/09,000-100002276-76,Grace Wilson,2276.76
2025-10-10,0000000000002277,Hank Moore,2277.77
2025-11-11,000-100002278-78,,2278.78
2025-12-12,000-100002279-79,Jack Anderson,-10.00
2025-01-13,000-100002280-80,Alice Johnson,"2,281.80"
2025/02/14,000-100002281-81,Bob Smith,2281.81
2025-03-15,0000000000002282,Carol Williams,2282.82
2025-04-16,000-100002283-83,,2283.83
2025-05-17,000-100002284-84,Emma Davis,-10.00
2025-06-18,000-100002285-85,Frank Miller,2286.85
2025/07/19,000-100002286-86,Grace Wilson,2286.86
2025-08-20,0000000000002287,Hank Moore,2287.87
2025-09-21,000-100002288-88,,2288.88
2025-10-22,000-100002289-89,Jack Anderson,-10.00
2025-11-23,000-100002290-90,Alice Johnson,"2,291.90"
2025/12/24,000-100002291-91,Bob Smith,2291.91
2025-01-25,0000000000002292,Carol Williams,2292.92
2025-02-26,000-100002293-93,,2293.93
2025-03-27,000-100002294-94,Emma Davis,-10.00
2025-04-28,000-100002295-95,Frank Miller,2296.95
2025/05/01,000-100002296-96,Grace Wilson,2296.96
2025-06-02,0000000000002297,Hank Moore,2297.97
2025-07-03,000-100002298-98,,2298.98
2025-08-04,000-100002299-99,Jack Anderson,-10.00
2025-09-05,000-100002300-00,Alice Johnson,"2,301.00"
2025/10/06,000-100002301-01,Bob Smith,2301.01
2025-11-07,0000000000002302,Carol Williams,2302.02
2025-12-08,000-100002303-03,,2303.03
2025-01-09,000-100002304-04,Emma Davis,-10.00
2025-02-10,000-100002305-05,Frank Miller,2306.05
2025/03/11,000-100002306-06,Grace Wilson,2306.06
2025-04-12,0000000000002307,Hank Moore,2307.07
2025-05-13,000-100002308-08,,2308.08
2025-06-14,000-100002309-09,Jack Anderson,-10.00
2025-07-15,000-100002310-10,Alice Johnson,"2,311.10"
2025/08/16,000-100002311-11,Bob Smith,2311.11
2025-09-17,0000000000002312,Carol Williams,2312.12
2025-10-18,000-100002313-13,,2313.13
2025-11-19,000-100002314-14,Emma Davis,-10.00
2025-12-20,000-100002315-15,Frank Miller,2316.15
2025/01/21,000-100002316-16,Grace Wilson,2316.16
2025-02-22,0000000000002317,Hank Moore,2317.17
2025-03-23,000-100002318-18,,2318.18
2025-04-24,000-100002319-19,Jack Anderson,-10.00
2025-05-25,000-100002320-20,Alice Johnson,"2,321.20"
2025/06/26,000-100002321-21,Bob Smith,2321.21
2025-07-27,0000000000002322,Carol Williams,2322.22
2025-08-28,000-100002323-23,,2323.23
2025-09-01,000-100002324-24,Emma Davis,-10.00
2025-10-02,000-100002325-25,Frank Miller,2326.25
2025/11/03,000-100002326-26,Grace Wilson,2326.26
2025-12-04,0000000000002327,Hank Moore,2327.27
2025-01-05,000-100002328-28,,2328.28
2025-02-06,000-100002329-29,Jack Anderson,-10.00
2025-03-07,000-100002330-30,Alice Johnson,"2,331.30"
2025/04/08,000-100002331-31,Bob Smith,2331.31
2025-05-09,0000000000002332,Carol Williams,2332.32
2025-06-10,000-100002333-33,,2333.33
2025-07-11,000-100002334-34,Emma Davis,-10.00
2025-08-12,000-100002335-35,Frank Miller,2336.35
2025/09/13,000-100002336-36,Grace Wilson,2336.36
2025-10-14,0000000000002337,Hank Moore,2337.37
2025-11-15,000-100002338-38,,2338.38
2025-12-16,000-100002339-39,Jack Anderson,-10.00
2025-01-17,000-100002340-40,Alice Johnson,"2,341.40"
2025/02/18,000-100002341-41,Bob Smith,2341.41
2025-03-19,0000000000002342,Carol Williams,2342.42
2025-04-20,000-100002343-43,,2343.43
2025-05-21,000-100002344-44,Emma Davis,-10.00
2025-06-22,000-100002345-45,Frank Miller,2346.45
2025/07/23,000-100002346-46,Grace Wilson,2346.46
2025-08-24,0000000000002347,Hank Moore,2347.47
2025-09-25,000-100002348-48,,2348.48
2025-10-26,000-100002349-49,Jack Anderson,-10.00
2025-11-27,000-100002350-50,Alice Johnson,"2,351.50"
2025/12/28,000-100002351-51,Bob Smith,2351.51
2025-01-01,0000000000002352,Carol Williams,2352.52
2025-02-02,000-100002353-53,,2353.53
2025-03-03,000-100002354-54,Emma Davis,-10.00
2025-04-04,000-100002355-55,Frank Miller,2356.55
2025/05/05,000-100002356-56,Grace Wilson,2356.56
2025-06-06,0000000000002357,Hank Moore,2357.57
2025-07-07,000-100002358-58,,2358.58
2025-08-08,000-100002359-59,Jack Anderson,-10.00
2025-09-09,000-100002360-60,Alice Johnson,"2,361.60"
2025/10/10,000-100002361-61,Bob Smith,2361.61
2025-11-11,0000000000002362,Carol Williams,2362.62
2025-12-12,000-100002363-63,,2363.63
2025-01-13,000-100002364-64,Emma Davis,-10.00
2025-02-14,000-100002365-65,Frank Miller,2366.65
2025/03/15,000-100002366-66,Grace Wilson,2366.66
2025-04-16,0000000000002367,Hank Moore,2367.67
2025-05-17,000-100002368-68,,2368.68
2025-06-18,000-100002369-69,Jack Anderson,-10.00
2025-07-19,000-100002370-70,Alice Johnson,"2,371.70"
2025/08/20,000-100002371-71,Bob Smith,2371.71
2025-09-21,0000000000002372,Carol Williams,2372.72
2025-10-22,000-100002373-73,,2373.73
2025-11-23,000-100002374-74,Emma Davis,-10.00
2025-12-24,000-100002375-75,Frank Miller,2376.75
2025/01/25,000-100002376-76,Grace Wilson,2376.76
2025-02-26,0000000000002377,Hank Moore,2377.77
2025-03-27,000-100002378-78,,2378.78
2025-04-28,000-100002379-79,Jack Anderson,-10.00
2025-05-01,000-100002380-80,Alice Johnson,"2,381.80"
2025/06/02,000-100002381-81,Bob Smith,2381.81
2025-07-03,0000000000002382,Carol Williams,2382.82
2025-08-04,000-100002383-83,,2383.83
2025-09-05,000-100002384-84,Emma Davis,-10.00
2025-10-06,000-100002385-85,Frank Miller,2386.85
2025/11/07,000-100002386-86,Grace Wilson,2386.86
2025-12-08,0000000000002387,Hank Moore,2387.87
2025-01-09,000-100002388-88,,2388.88
2025-02-10,000-100002389-89,Jack Anderson,-10.00
2025-03-11,000-100002390-90,Alice Johnson,"2,391.90"
2025/04/12,000-100002391-91,Bob Smith,2391.91
2025-05-13,0000000000002392,Carol Williams,2392.92
2025-06-14,000-100002393-93,,2393.93
2025-07-15,000-100002394-94,Emma Davis,-10.00
2025-08-16,000-100002395-95,Frank Miller,2396.95
2025/09/17,000-100002396-96,Grace Wilson,2396.96
2025-10-18,0000000000002397,Hank Moore,2397.97
2025-11-19,000-100002398-98,,2398.98
2025-12-20,000-100002399-99,Jack Anderson,-10.00
2025-01-21,000-100002400-00,Alice Johnson,"2,401.00"
2025/02/22,000-100002401-01,Bob Smith,2401.01
2025-03-23,0000000000002402,Carol Williams,2402.02
2025-04-24,000-100002403-03,,2403.03
2025-05-25,000-100002404-04,Emma Davis,-10.00
2025-06-26,000-100002405-05,Frank Miller,2406.05
2025/07/27,000-100002406-06,Grace Wilson,2406.06
2025-08-28,0000000000002407,Hank Moore,2407.07
2025-09-01,000-100002408-08,,2408.08
2025-10-02,000-100002409-09,Jack Anderson,-10.00
2025-11-03,000-100002410-10,Alice Johnson,"2,411.10"
2025/12/04,000-100002411-11,Bob Smith,2411.11
2025-01-05,0000000000002412,Carol Williams,2412.12
2025-02-06,000-100002413-13,,2413.13
2025-03-07,000-100002414-14,Emma Davis,-10.00
2025-04-08,000-100002415-15,Frank Miller,2416.15
2025/05/09,000-100002416-16,Grace Wilson,2416.16
2025-06-10,0000000000002417,Hank Moore,2417.17
2025-07-11,000-100002418-18,,2418.18
2025-08-12,000-100002419-19,Jack Anderson,-10.00
2025-09-13,000-100002420-20,Alice Johnson,"2,421.20"
2025/10/14,000-100002421-21,Bob Smith,2421.21
2025-11-15,0000000000002422,Carol Williams,2422.22
2025-12-16,000-100002423-23,,2423.23
2025-01-17,000-100002424-24,Emma Davis,-10.00
2025-02-18,000-100002425-25,Frank Miller,2426.25
2025/03/19,000-100002426-26,Grace Wilson,2426.26
2025-04-20,0000000000002427,Hank Moore,2427.27
2025-05-21,000-100002428-28,,2428.28
2025-06-22,000-100002429-29,Jack Anderson,-10.00
2025-07-23,000-100002430-30,Alice Johnson,"2,431.30"
2025/08/24,000-100002431-31,Bob Smith,2431.31
2025-09-25,0000000000002432,Carol Williams,2432.32
2025-10-26,000-100002433-33,,2433.33
2025-11-27,000-100002434-34,Emma Davis,-10.00
2025-12-28,000-100002435-35,Frank Miller,2436.35
2025/01/01,000-100002436-36,Grace Wilson,2436.36
2025-02-02,0000000000002437,Hank Moore,2437.37
2025-03-03,000-100002438-38,,2438.38
2025-04-04,000-100002439-39,Jack Anderson,-10.00
2025-05-05,000-100002440-40,Alice Johnson,"2,441.40"
2025/06/06,000-100002441-41,Bob Smith,2441.41
2025-07-07,0000000000002442,Carol Williams,2442.42
2025-08-08,000-100002443-43,,2443.43
2025-09-09,000-100002444-44,Emma Davis,-10.00
2025-10-10,000-100002445-45,Frank Miller,2446.45
2025/11/11,000-100002446-46,Grace Wilson,2446.46
2025-12-12,0000000000002447,Hank Moore,2447.47
2025-01-13,000-100002448-48,,2448.48
2025-02-14,000-100002449-49,Jack Anderson,-10.00
2025-03-15,000-100002450-50,Alice Johnson,"2,451.50"
2025/04/16,000-100002451-51,Bob Smith,2451.51
2025-05-17,0000000000002452,Carol Williams,2452.52
2025-06-18,000-100002453-53,,2453.53
2025-07-19,000-100002454-54,Emma Davis,-10.00
2025-08-20,000-100002455-55,Frank Miller,2456.55
2025/09/21,000-100002456-56,Grace Wilson,2456.56
2025-10-22,0000000000002457,Hank Moore,2457.57
2025-11-23,000-100002458-58,,2458.58
2025-12-24,000-100002459-59,Jack Anderson,-10.00
2025-01-25,000-100002460-60,Alice Johnson,"2,461.60"
2025/02/26,000-100002461-61,Bob Smith,2461.61
2025-03-27,0000000000002462,Carol Williams,2462.62
2025-04-28,000-100002463-63,,2463.63
2025-05-01,000-100002464-64,Emma Davis,-10.00
2025-06-02,000-100002465-65,Frank Miller,2466.65
2025/07/03,000-100002466-66,Grace Wilson,2466.66
2025-08-04,0000000000002467,Hank Moore,2467.67
2025-09-05,000-100002468-68,,2468.68
2025-10-06,000-100002469-69,Jack Anderson,-10.00
2025-11-07,000-100002470-70,Alice Johnson,"2,471.70"
2025/12/08,000-100002471-71,Bob Smith,2471.71
2025-01-09,0000000000002472,Carol Williams,2472.72
2025-02-10,000-100002473-73,,2473.73
2025-03-11,000-100002474-74,Emma Davis,-10.00
2025-04-12,000-100002475-75,Frank Miller,2476.75
2025/05/13,000-100002476-76,Grace Wilson,2476.76
2025-06-14,0000000000002477,Hank Moore,2477.77
2025-07-15,000-100002478-78,,2478.78
2025-08-16,000-100002479-79,Jack Anderson,-10.00
2025-09-17,000-100002480-80,Alice Johnson,"2,481.80"
2025/10/18,000-100002481-81,Bob Smith,2481.81
2025-11-19,0000000000002482,Carol Williams,2482.82
2025-12-20,000-100002483-83,,2483.83
2025-01-21,000-100002484-84,Emma Davis,-10.00
2025-02-22,000-100002485-85,Frank Miller,2486.85
2025/03/23,000-100002486-86,Grace Wilson,2486.86
2025-04-24,0000000000002487,Hank Moore,2487.87
2025-05-25,000-100002488-88,,2488.88
2025-06-26,000-100002489-89,Jack Anderson,-10.00
2025-07-27,000-100002490-90,Alice Johnson,"2,491.90"
2025/08/28,000-100002491-91,Bob Smith,2491.91
2025-09-01,0000000000002492,Carol Williams,2492.92
2025-10-02,000-100002493-93,,2493.93
2025-11-03,000-100002494-94,Emma Davis,-10.00
2025-12-04,000-100002495-95,Frank Miller,2496.95
2025/01/05,000-100002496-96,Grace Wilson,2496.96
2025-02-06,0000000000002497,Hank Moore,2497.97
2025-03-07,000-100002498-98,,2498.98
2025-04-08,000-100002499-99,Jack Anderson,-10.00
2025-05-09,000-100002500-00,Alice Johnson,"2,501.00"
2025/06/10,000-100002501-01,Bob Smith,2501.01
2025-07-11,0000000000002502,Carol Williams,2502.02
2025-08-12,000-100002503-03,,2503.03
2025-09-13,000-100002504-04,Emma Davis,-10.00
2025-10-14,000-100002505-05,Frank Miller,2506.05
2025/11/15,000-100002506-06,Grace Wilson,2506.06
2025-12-16,0000000000002507,Hank Moore,2507.07
2025-01-17,000-100002508-08,,2508.08
2025-02-18,000-100002509-09,Jack Anderson,-10.00
2025-03-19,000-100002510-10,Alice Johnson,"2,511.10"
2025/04/20,000-100002511-11,Bob Smith,2511.11
